### Packet Size Reporting Start!!! ###

### Login Agent to Client ### 
[ SIZE :     3 ] ASTC_CHARACTER_SELECT_FAIL
[ SIZE :     4 ] ASTC_CHR_MOVECHK
[ SIZE :    21 ] ASTC_CONNECT_WORLD_SERVER
[ SIZE :     6 ] ASTC_IS_ALIVE_USER
[ SIZE :     6 ] ASTC_ITEMMALL_INFO
[ SIZE :    24 ] ASTC_MOVE_CHARACTER_FAIL
[ SIZE :    86 ] ASTC_MOVE_CHARACTER_SUCCESS
[ SIZE :    18 ] ASTC_SERVER_ALIVE_INFO

@@ Max Packet is ASTC_MOVE_CHARACTER_SUCCESS [86]


### Login Agent to World Server ### 
[ SIZE :   107 ] ASTWS_ADD_NEW_USER
[ SIZE :    11 ] ASTWS_BILLING_SMALL_TIME
[ SIZE :    27 ] ASTWS_CHANGE_BILLING_TYPE
[ SIZE :    12 ] ASTWS_CHINA_BILLING_INFO
[ SIZE :  1028 ] ASTWS_CMTOOL_NOTICE
[ SIZE :    31 ] ASTWS_GUILD_CHARACTER_DELETE
[ SIZE :     7 ] ASTWS_KICK_USER
[ SIZE :     4 ] ASTWS_REQUEST_SERVER_ALIVE
[ SIZE :     4 ] ASTWS_SERVER_ATTACH_RESULT
[ SIZE :    72 ] BILLING_INFO

@@ Max Packet is ASTWS_CMTOOL_NOTICE [1028]


### Client to Login Agent ### 
[ SIZE :     3 ] CTAS_CHECK_MONITORING
[ SIZE :     3 ] CTAS_CHR_MOVECHK
[ SIZE :  1028 ] CTAS_CMTOOL_NOTICE
[ SIZE :    26 ] CTAS_IS_ALIVE_USER
[ SIZE :    10 ] CTAS_KICK_USER
[ SIZE :    90 ] CTAS_MOVE_CHARACTER_RESEND
[ SIZE :     3 ] CTAS_REQUEST_SERVER_ALIVE

@@ Max Packet is CTAS_CMTOOL_NOTICE [1028]


### Client to Client (TEST) ### 
[ SIZE :    18 ] CTC_AIRSHIP_GETOFF
[ SIZE :     6 ] CTC_AIRSHIP_RIDING
[ SIZE :    22 ] CTC_MOVE_POSITION
[ SIZE :    35 ] CTC_WORLD_MOVE
[ SIZE :    18 ] CTC_WORLD_STOP

@@ Max Packet is CTC_WORLD_MOVE [35]


### Client to Dungeon Server ### 
[ SIZE :     4 ] CTDS_ACCENTRANCE_ACQUISITION
[ SIZE :     4 ] CTDS_ACCEXP_ACQUISITION
[ SIZE :     4 ] CTDS_CHAR_LEVELUP
[ SIZE :    22 ] CTDS_DUNGEON_ATTACK_USER_MON
[ SIZE :    22 ] CTDS_DUNGEON_ATTACK_USER_USER
[ SIZE :     3 ] CTDS_DUNGEON_CALLGARDIAN
[ SIZE :    13 ] CTDS_DUNGEON_CASTING
[ SIZE :     4 ] CTDS_DUNGEON_CHANGE_LRSKILLKIND
[ SIZE :   259 ] CTDS_DUNGEON_CHAT
[ SIZE :    44 ] CTDS_DUNGEON_JOIN
[ SIZE :    23 ] CTDS_DUNGEON_MOVE
[ SIZE :     6 ] CTDS_DUNGEON_OUT
[ SIZE :     3 ] CTDS_DUNGEON_PKMODE
[ SIZE :     7 ] CTDS_DUNGEON_REQUEST_INFO
[ SIZE :    14 ] CTDS_DUNGEON_STOP
[ SIZE :     3 ] CTDS_EMOTICON
[ SIZE :     8 ] CTDS_ENTRANCE_EDIT
[ SIZE :     2 ] CTDS_EVENT_CLEAR_EFFECT_FINISH
[ SIZE :     4 ] CTDS_EVENT_USER_PREV_DUNGEON_ID
[ SIZE :     6 ] CTDS_FIND_HACK
[ SIZE :     2 ] CTDS_FINISH_MAPLOADING
[ SIZE :    44 ] CTDS_GM_COMMAND
[ SIZE :    22 ] CTDS_GM_QUICK_MOVE
[ SIZE :     8 ] CTDS_GUARDIAN_ATTACK
