C <23:26:37> ########### CorumZero Online - Village Server Started! ###########
A <23:40:24> World Server Disconnected! Server Will Terminate...
C <23:40:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:40:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:40:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:40:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:40:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:40:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:41:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:41:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:41:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:41:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:41:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:41:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:41:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:41:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:41:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:41:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:41:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:41:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:42:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:42:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:42:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:42:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:42:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:42:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:42:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:42:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:42:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:42:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:42:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:42:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:43:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:43:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:43:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:43:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:43:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:43:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:43:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:43:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:43:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:43:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:43:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:43:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:44:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:44:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:44:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:44:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:44:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:44:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:44:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:44:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:44:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:44:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:44:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:44:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:45:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:45:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:45:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:45:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:45:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:45:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:45:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:45:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:45:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:45:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:45:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:45:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:46:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:46:06> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:46:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:46:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:46:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:46:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:46:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:46:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:46:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:46:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:46:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:46:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:47:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:47:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:47:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:47:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:47:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:47:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:47:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:47:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:47:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:47:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:47:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:47:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:48:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:48:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:48:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:48:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:48:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:48:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:48:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:48:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:48:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:48:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:48:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:48:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:49:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:49:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
