C <00:00:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:00:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:00:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:00:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:00:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:00:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:00:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:00:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:00:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:00:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:00:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:00:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:01:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:01:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:01:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:01:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:01:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:01:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:01:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:01:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:01:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:01:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:01:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:01:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:02:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:02:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:02:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:02:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:02:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:02:26> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:02:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:02:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:02:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:02:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:02:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:02:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:03:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:03:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:03:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:03:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:03:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:03:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:03:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:03:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:03:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:03:46> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:03:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:03:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:04:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:04:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:04:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:04:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:04:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:04:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:04:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:04:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:04:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:04:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:04:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:04:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:05:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:05:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:05:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:05:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:05:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:05:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:05:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:05:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:05:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:05:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:05:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:05:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:06:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:06:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:06:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
