C <13:30:58> Fail to CreateNetwork!
C <13:34:38> ########### CorumZero Online - Village Server Started! ###########
C <13:34:41> @ Can Not Listen For Userside! IP="222.106.120.39", Port=16006
B <13:34:41> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <13:43:54> ########### CorumZero Online - Village Server Started! ###########
C <13:46:44> ########### CorumZero Online - Village Server Started! ###########
C <13:57:54> Fail to CreateNetwork!
C <15:21:21> Fail to CreateNetwork!
C <15:23:19> ########### CorumZero Online - Village Server Started! ###########
C <15:23:39> ########### CorumZero Online - Village Server Started! ###########
C <15:29:57> ########### CorumZero Online - Village Server Started! ###########
C <15:31:53> ########### CorumZero Online - Village Server Started! ###########
B <15:32:21> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:32:31> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:32:32> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:32:41> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:32:42> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:45:22> ########### CorumZero Online - Village Server Started! ###########
B <15:45:27> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:45:37> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:45:38> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:45:47> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:45:48> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:45:57> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:45:58> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:46:07> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:46:08> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:46:17> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:46:18> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:46:27> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:46:28> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:46:37> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:46:38> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:46:47> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:46:48> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:46:57> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:46:58> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:47:07> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:47:08> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:47:17> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
