C <17:58:29> ########### CorumZero Online - Dungeon Server Started! ###########
C <18:12:33> ########### CorumZero Online - Dungeon Server Started! ###########
A <18:29:36> World Server Disconnected! Server Will Terminate...
C <18:29:46> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:29:47> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:29:56> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:29:57> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:30:06> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:30:07> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:30:16> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:30:17> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:30:26> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:30:27> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:30:36> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:30:37> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:30:46> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:30:47> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:30:56> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
A <18:35:16> World Server Disconnected! Server Will Terminate...
C <18:35:26> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:35:27> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:35:36> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:35:37> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:35:46> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:35:47> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:35:56> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:35:57> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:36:06> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:36:07> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:36:16> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:36:17> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:36:26> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:36:27> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:36:36> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:36:37> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:36:46> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:36:47> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:36:56> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:36:57> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:37:06> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:37:07> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:37:16> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:37:17> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:37:26> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:37:27> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:37:36> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:37:37> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:37:46> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:37:47> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:37:56> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:37:57> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:38:06> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:38:07> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:38:16> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:38:17> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:38:26> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:38:27> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:38:36> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:38:37> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:38:46> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:38:47> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:38:56> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:38:57> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:39:06> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:39:07> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <18:39:16> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <18:39:17> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
