C <23:18:42> ########### CorumZero Online - Dungeon Server Started! ###########
C <00:18:00> ########### CorumZero Online - Dungeon Server Started! ###########
C <00:21:18> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
C <00:21:18> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
C <00:23:57> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
C <00:25:43> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
C <00:26:34> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
C <00:26:43> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
C <00:26:45> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
C <12:28:45> ########### CorumZero Online - Dungeon Server Started! ###########
C <12:32:08> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
C <12:32:08> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
C <12:33:52> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
C <12:33:52> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
C <12:34:01> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
C <12:37:18> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
C <12:37:18> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
C <12:38:28> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
C <12:38:30> [Msg for DB] [OLEDB Query Error] QUERY_TYPE_EXECUTE_BY_PARAM (QueryUID:0, Query:Insert into ItemLog0_20080922 (Serial, LogCode, ServerSet, DungeonID, Item, OwnerName, SellerName) values( ?, ?, ?, ?, ?, ?, ? ))( OLEDBThread(VOID) )
