C <14:51:14> ########### CorumZero Online - Dungeon Server Started! ###########
B <14:52:05> Couldn't calculate guardian level.
B <14:52:21> Couldn't calculate guardian level.
B <14:53:01> Couldn't calculate guardian level.
A <14:55:14> World Server Disconnected! Server Will Terminate...
C <14:56:52> ########### CorumZero Online - Dungeon Server Started! ###########
B <14:56:55> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <14:57:05> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <14:59:52> Couldn't calculate guardian level.
A <15:08:00> World Server Disconnected! Server Will Terminate...
C <15:08:10> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
A <15:22:41> World Server Disconnected! Server Will Terminate...
C <15:22:51> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:22:52> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:23:01> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:23:02> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:23:11> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:23:12> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:23:21> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:23:22> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:23:31> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:23:32> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:23:41> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:23:42> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:23:51> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:23:53> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:24:01> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:24:02> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:24:11> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:24:12> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:24:21> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
