A <00:04:29> World Server Disconnected! Server Will Terminate...
C <00:04:39> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:04:40> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:04:49> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:04:50> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:04:59> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:05:00> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:05:09> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:05:10> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:05:19> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:05:20> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:05:29> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:05:30> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:05:39> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:05:40> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:05:49> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:05:50> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:05:59> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:06:00> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:06:09> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:06:10> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:06:19> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:06:20> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:06:29> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:06:30> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:06:39> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:06:40> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:06:49> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:06:50> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:06:59> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:07:00> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:07:09> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:07:10> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:07:19> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:07:20> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:07:29> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:07:30> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:07:39> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:07:40> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:07:49> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:07:50> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:07:59> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:08:00> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:08:09> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:08:10> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:08:19> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:08:20> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:08:29> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:08:30> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:08:39> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:08:40> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:08:49> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:08:50> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:08:59> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:09:00> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:09:09> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:09:10> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:09:19> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:09:20> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:09:29> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:09:30> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:09:39> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
